ministro,ano,mes,dia,distribuido,redistribuido,total
"MIN. CELSO DE MELLO",2008,2,7,"19","0","19"
"MIN. MARCO AURÉLIO",2008,2,7,"8","0","8"
"MIN. GILMAR MENDES",2008,2,7,"63","0","63"
"MIN. CEZAR PELUSO",2008,2,7,"74","0","74"
"MIN. CARLOS BRITTO",2008,2,7,"26","0","26"
"MIN. JOAQUIM BARBOSA",2008,2,7,"16","0","16"
"MIN. EROS GRAU",2008,2,7,"32","0","32"
"MIN. RICARDO LEWANDOWSKI",2008,2,7,"20","0","20"
"MIN. CÁRMEN LÚCIA",2008,2,7,"26","0","26"
"MIN. MENEZES DIREITO",2008,2,7,"10","0","10"
"TOTAL",2008,2,7,"294","0","294"
"MIN. CELSO DE MELLO",2008,5,12,"33","2","35"
"MIN. MARCO AURÉLIO",2008,5,12,"15","0","15"
"MIN. ELLEN GRACIE",2008,5,12,"45","0","45"
"MIN. CEZAR PELUSO",2008,5,12,"70","0","70"
"MIN. CARLOS BRITTO",2008,5,12,"28","0","28"
"MIN. JOAQUIM BARBOSA",2008,5,12,"27","0","27"
"MIN. EROS GRAU",2008,5,12,"24","0","24"
"MIN. RICARDO LEWANDOWSKI",2008,5,12,"26","0","26"
"MIN. CÁRMEN LÚCIA",2008,5,12,"33","1","34"
"MIN. MENEZES DIREITO",2008,5,12,"28","0","28"
"TOTAL",2008,5,12,"329","3","332"
"MIN. SEPÚLVEDA PERTENCE",2007,4,27,"0","0","0"
"MIN. CELSO DE MELLO",2007,4,27,"0","0","0"
"MIN. MARCO AURÉLIO",2007,4,27,"0","0","0"
"MIN. GILMAR MENDES",2007,4,27,"0","0","0"
"MIN. CEZAR PELUSO",2007,4,27,"0","0","0"
"MIN. CARLOS BRITTO",2007,4,27,"0","0","0"
"MIN. JOAQUIM BARBOSA",2007,4,27,"0","0","0"
"MIN. EROS GRAU",2007,4,27,"0","0","0"
"MIN. RICARDO LEWANDOWSKI",2007,4,27,"0","0","0"
"MIN. CÁRMEN LÚCIA",2007,4,27,"1","0","1"
"TOTAL",2007,4,27,"1","0","1"
"MIN. SEPÚLVEDA PERTENCE",2007,7,31,"31","0","31"
"MIN. CELSO DE MELLO",2007,7,31,"47","0","47"
"MIN. MARCO AURÉLIO",2007,7,31,"25","0","25"
"MIN. GILMAR MENDES",2007,7,31,"35","0","35"
"MIN. CEZAR PELUSO",2007,7,31,"57","0","57"
"MIN. CARLOS BRITTO",2007,7,31,"42","0","42"
"MIN. JOAQUIM BARBOSA",2007,7,31,"38","0","38"
"MIN. EROS GRAU",2007,7,31,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2007,7,31,"27","0","27"
"MIN. CÁRMEN LÚCIA",2007,7,31,"31","0","31"
"TOTAL",2007,7,31,"367","0","367"
"MIN. CELSO DE MELLO",2008,5,13,"44","1","45"
"MIN. MARCO AURÉLIO",2008,5,13,"17","0","17"
"MIN. ELLEN GRACIE",2008,5,13,"66","2","68"
"MIN. CEZAR PELUSO",2008,5,13,"64","0","64"
"MIN. CARLOS BRITTO",2008,5,13,"35","0","35"
"MIN. JOAQUIM BARBOSA",2008,5,13,"38","0","38"
"MIN. EROS GRAU",2008,5,13,"38","0","38"
"MIN. RICARDO LEWANDOWSKI",2008,5,13,"51","0","51"
"MIN. CÁRMEN LÚCIA",2008,5,13,"38","0","38"
"MIN. MENEZES DIREITO",2008,5,13,"47","0","47"
"TOTAL",2008,5,13,"438","3","441"
"MIN. SEPÚLVEDA PERTENCE",2007,8,1,"0","0","0"
"MIN. CELSO DE MELLO",2007,8,1,"1","0","1"
"MIN. MARCO AURÉLIO",2007,8,1,"0","0","0"
"MIN. GILMAR MENDES",2007,8,1,"0","0","0"
"MIN. CEZAR PELUSO",2007,8,1,"0","0","0"
"MIN. CARLOS BRITTO",2007,8,1,"0","0","0"
"MIN. JOAQUIM BARBOSA",2007,8,1,"0","0","0"
"MIN. EROS GRAU",2007,8,1,"0","0","0"
"MIN. RICARDO LEWANDOWSKI",2007,8,1,"0","0","0"
"MIN. CÁRMEN LÚCIA",2007,8,1,"1","0","1"
"TOTAL",2007,8,1,"2","0","2"
"MIN. CELSO DE MELLO",2008,2,8,"33","0","33"
"MIN. MARCO AURÉLIO",2008,2,8,"5","0","5"
"MIN. GILMAR MENDES",2008,2,8,"39","0","39"
"MIN. CEZAR PELUSO",2008,2,8,"57","0","57"
"MIN. CARLOS BRITTO",2008,2,8,"22","0","22"
"MIN. JOAQUIM BARBOSA",2008,2,8,"23","0","23"
"MIN. EROS GRAU",2008,2,8,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2008,2,8,"36","0","36"
"MIN. CÁRMEN LÚCIA",2008,2,8,"35","1","36"
"MIN. MENEZES DIREITO",2008,2,8,"10","0","10"
"TOTAL",2008,2,8,"294","1","295"
"MIN. CELSO DE MELLO",2008,5,14,"37","0","37"
"MIN. MARCO AURÉLIO",2008,5,14,"14","0","14"
"MIN. ELLEN GRACIE",2008,5,14,"64","0","64"
"MIN. CEZAR PELUSO",2008,5,14,"58","0","58"
"MIN. CARLOS BRITTO",2008,5,14,"33","0","33"
"MIN. JOAQUIM BARBOSA",2008,5,14,"27","0","27"
"MIN. EROS GRAU",2008,5,14,"40","0","40"
"MIN. RICARDO LEWANDOWSKI",2008,5,14,"45","0","45"
"MIN. CÁRMEN LÚCIA",2008,5,14,"35","0","35"
"MIN. MENEZES DIREITO",2008,5,14,"38","0","38"
"TOTAL",2008,5,14,"391","0","391"
"MIN. SEPÚLVEDA PERTENCE",2007,4,30,"37","0","37"
"MIN. CELSO DE MELLO",2007,4,30,"60","0","60"
"MIN. MARCO AURÉLIO",2007,4,30,"60","0","60"
"MIN. GILMAR MENDES",2007,4,30,"58","0","58"
"MIN. CEZAR PELUSO",2007,4,30,"53","0","53"
"MIN. CARLOS BRITTO",2007,4,30,"60","0","60"
"MIN. JOAQUIM BARBOSA",2007,4,30,"62","0","62"
"MIN. EROS GRAU",2007,4,30,"61","0","61"
"MIN. RICARDO LEWANDOWSKI",2007,4,30,"61","0","61"
"MIN. CÁRMEN LÚCIA",2007,4,30,"60","0","60"
"TOTAL",2007,4,30,"572","0","572"
"MIN. SEPÚLVEDA PERTENCE",2007,8,2,"35","0","35"
"MIN. CELSO DE MELLO",2007,8,2,"43","0","43"
"MIN. MARCO AURÉLIO",2007,8,2,"30","0","30"
"MIN. GILMAR MENDES",2007,8,2,"45","0","45"
"MIN. CEZAR PELUSO",2007,8,2,"57","0","57"
"MIN. CARLOS BRITTO",2007,8,2,"23","0","23"
"MIN. JOAQUIM BARBOSA",2007,8,2,"39","0","39"
"MIN. EROS GRAU",2007,8,2,"53","0","53"
"MIN. RICARDO LEWANDOWSKI",2007,8,2,"42","0","42"
"MIN. CÁRMEN LÚCIA",2007,8,2,"40","0","40"
"TOTAL",2007,8,2,"407","0","407"
"MIN. SEPÚLVEDA PERTENCE",2007,8,3,"26","0","26"
"MIN. CELSO DE MELLO",2007,8,3,"29","0","29"
"MIN. MARCO AURÉLIO",2007,8,3,"39","0","39"
"MIN. GILMAR MENDES",2007,8,3,"39","0","39"
"MIN. CEZAR PELUSO",2007,8,3,"39","0","39"
"MIN. CARLOS BRITTO",2007,8,3,"34","0","34"
"MIN. JOAQUIM BARBOSA",2007,8,3,"26","0","26"
"MIN. EROS GRAU",2007,8,3,"42","0","42"
"MIN. RICARDO LEWANDOWSKI",2007,8,3,"49","0","49"
"MIN. CÁRMEN LÚCIA",2007,8,3,"46","1","47"
"TOTAL",2007,8,3,"369","1","370"
"MIN. CELSO DE MELLO",2007,11,5,"34","0","34"
"MIN. MARCO AURÉLIO",2007,11,5,"21","0","21"
"MIN. GILMAR MENDES",2007,11,5,"58","0","58"
"MIN. CEZAR PELUSO",2007,11,5,"54","0","54"
"MIN. CARLOS BRITTO",2007,11,5,"96","0","96"
"MIN. JOAQUIM BARBOSA",2007,11,5,"38","0","38"
"MIN. EROS GRAU",2007,11,5,"37","0","37"
"MIN. RICARDO LEWANDOWSKI",2007,11,5,"96","0","96"
"MIN. CÁRMEN LÚCIA",2007,11,5,"109","0","109"
"MIN. MENEZES DIREITO",2007,11,5,"34","0","34"
"TOTAL",2007,11,5,"577","0","577"
"MIN. CELSO DE MELLO",2007,11,6,"49","0","49"
"MIN. MARCO AURÉLIO",2007,11,6,"17","0","17"
"MIN. GILMAR MENDES",2007,11,6,"49","0","49"
"MIN. CEZAR PELUSO",2007,11,6,"51","0","51"
"MIN. CARLOS BRITTO",2007,11,6,"92","0","92"
"MIN. JOAQUIM BARBOSA",2007,11,6,"49","0","49"
"MIN. EROS GRAU",2007,11,6,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2007,11,6,"91","0","91"
"MIN. CÁRMEN LÚCIA",2007,11,6,"111","0","111"
"MIN. MENEZES DIREITO",2007,11,6,"30","0","30"
"TOTAL",2007,11,6,"573","0","573"
"MIN. CELSO DE MELLO",2007,11,7,"42","0","42"
"MIN. MARCO AURÉLIO",2007,11,7,"19","0","19"
"MIN. GILMAR MENDES",2007,11,7,"30","0","30"
"MIN. CEZAR PELUSO",2007,11,7,"49","0","49"
"MIN. CARLOS BRITTO",2007,11,7,"81","0","81"
"MIN. JOAQUIM BARBOSA",2007,11,7,"36","0","36"
"MIN. EROS GRAU",2007,11,7,"44","0","44"
"MIN. RICARDO LEWANDOWSKI",2007,11,7,"85","0","85"
"MIN. CÁRMEN LÚCIA",2007,11,7,"99","1","100"
"MIN. MENEZES DIREITO",2007,11,7,"37","0","37"
"TOTAL",2007,11,7,"522","1","523"
"MIN. CELSO DE MELLO",2008,2,11,"30","0","30"
"MIN. MARCO AURÉLIO",2008,2,11,"2","0","2"
"MIN. GILMAR MENDES",2008,2,11,"20","0","20"
"MIN. CEZAR PELUSO",2008,2,11,"34","0","34"
"MIN. CARLOS BRITTO",2008,2,11,"13","0","13"
"MIN. JOAQUIM BARBOSA",2008,2,11,"28","0","28"
"MIN. EROS GRAU",2008,2,11,"17","0","17"
"MIN. RICARDO LEWANDOWSKI",2008,2,11,"38","0","38"
"MIN. CÁRMEN LÚCIA",2008,2,11,"37","0","37"
"MIN. MENEZES DIREITO",2008,2,11,"4","0","4"
"TOTAL",2008,2,11,"223","0","223"
"MIN. CELSO DE MELLO",2008,5,15,"39","0","39"
"MIN. MARCO AURÉLIO",2008,5,15,"14","0","14"
"MIN. ELLEN GRACIE",2008,5,15,"48","0","48"
"MIN. CEZAR PELUSO",2008,5,15,"61","0","61"
"MIN. CARLOS BRITTO",2008,5,15,"36","0","36"
"MIN. JOAQUIM BARBOSA",2008,5,15,"35","0","35"
"MIN. EROS GRAU",2008,5,15,"41","1","42"
"MIN. RICARDO LEWANDOWSKI",2008,5,15,"39","0","39"
"MIN. CÁRMEN LÚCIA",2008,5,15,"37","0","37"
"MIN. MENEZES DIREITO",2008,5,15,"35","0","35"
"TOTAL",2008,5,15,"385","1","386"
"MIN. CELSO DE MELLO",2008,5,16,"38","0","38"
"MIN. MARCO AURÉLIO",2008,5,16,"15","0","15"
"MIN. ELLEN GRACIE",2008,5,16,"31","0","31"
"MIN. CEZAR PELUSO",2008,5,16,"41","1","42"
"MIN. CARLOS BRITTO",2008,5,16,"27","0","27"
"MIN. JOAQUIM BARBOSA",2008,5,16,"37","0","37"
"MIN. EROS GRAU",2008,5,16,"32","0","32"
"MIN. RICARDO LEWANDOWSKI",2008,5,16,"34","0","34"
"MIN. CÁRMEN LÚCIA",2008,5,16,"41","0","41"
"MIN. MENEZES DIREITO",2008,5,16,"36","0","36"
"TOTAL",2008,5,16,"332","1","333"
"MIN. SEPÚLVEDA PERTENCE",2007,5,2,"41","0","41"
"MIN. CELSO DE MELLO",2007,5,2,"46","0","46"
"MIN. MARCO AURÉLIO",2007,5,2,"47","0","47"
"MIN. GILMAR MENDES",2007,5,2,"45","1","46"
"MIN. CEZAR PELUSO",2007,5,2,"53","0","53"
"MIN. CARLOS BRITTO",2007,5,2,"41","1","42"
"MIN. JOAQUIM BARBOSA",2007,5,2,"42","0","42"
"MIN. EROS GRAU",2007,5,2,"45","0","45"
"MIN. RICARDO LEWANDOWSKI",2007,5,2,"44","0","44"
"MIN. CÁRMEN LÚCIA",2007,5,2,"48","0","48"
"TOTAL",2007,5,2,"452","2","454"
"MIN. SEPÚLVEDA PERTENCE",2007,5,3,"44","0","44"
"MIN. CELSO DE MELLO",2007,5,3,"45","0","45"
"MIN. MARCO AURÉLIO",2007,5,3,"44","0","44"
"MIN. GILMAR MENDES",2007,5,3,"37","0","37"
"MIN. CEZAR PELUSO",2007,5,3,"61","0","61"
"MIN. CARLOS BRITTO",2007,5,3,"34","0","34"
"MIN. JOAQUIM BARBOSA",2007,5,3,"44","0","44"
"MIN. EROS GRAU",2007,5,3,"43","0","43"
"MIN. RICARDO LEWANDOWSKI",2007,5,3,"47","0","47"
"MIN. CÁRMEN LÚCIA",2007,5,3,"45","0","45"
"TOTAL",2007,5,3,"444","0","444"
"MIN. SEPÚLVEDA PERTENCE",2007,8,6,"26","0","26"
"MIN. CELSO DE MELLO",2007,8,6,"35","0","35"
"MIN. MARCO AURÉLIO",2007,8,6,"29","0","29"
"MIN. GILMAR MENDES",2007,8,6,"48","0","48"
"MIN. CEZAR PELUSO",2007,8,6,"54","0","54"
"MIN. CARLOS BRITTO",2007,8,6,"30","0","30"
"MIN. JOAQUIM BARBOSA",2007,8,6,"32","0","32"
"MIN. EROS GRAU",2007,8,6,"22","0","22"
"MIN. RICARDO LEWANDOWSKI",2007,8,6,"36","0","36"
"MIN. CÁRMEN LÚCIA",2007,8,6,"28","2","30"
"TOTAL",2007,8,6,"340","2","342"
"MIN. CELSO DE MELLO",2007,11,8,"38","0","38"
"MIN. MARCO AURÉLIO",2007,11,8,"14","0","14"
"MIN. GILMAR MENDES",2007,11,8,"26","0","26"
"MIN. CEZAR PELUSO",2007,11,8,"38","0","38"
"MIN. CARLOS BRITTO",2007,11,8,"77","0","77"
"MIN. JOAQUIM BARBOSA",2007,11,8,"32","0","32"
"MIN. EROS GRAU",2007,11,8,"28","0","28"
"MIN. RICARDO LEWANDOWSKI",2007,11,8,"84","0","84"
"MIN. CÁRMEN LÚCIA",2007,11,8,"88","0","88"
"MIN. MENEZES DIREITO",2007,11,8,"29","0","29"
"TOTAL",2007,11,8,"454","0","454"
"MIN. CELSO DE MELLO",2007,11,9,"47","0","47"
"MIN. MARCO AURÉLIO",2007,11,9,"18","0","18"
"MIN. GILMAR MENDES",2007,11,9,"33","0","33"
"MIN. CEZAR PELUSO",2007,11,9,"54","0","54"
"MIN. CARLOS BRITTO",2007,11,9,"72","0","72"
