"site","mesAtual","diaAtual","anoAtual"
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=21/08/2007&numAta=186&sessaoAta=O",8,21,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=22/08/2007&numAta=187&sessaoAta=O",8,22,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/08/2007&numAta=188&sessaoAta=O",8,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=24/08/2007&numAta=189&sessaoAta=O",8,24,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/08/2007&numAta=190&sessaoAta=O",8,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=28/08/2007&numAta=191&sessaoAta=O",8,28,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=29/08/2007&numAta=192&sessaoAta=O",8,29,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=30/08/2007&numAta=194&sessaoAta=O",8,30,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=31/08/2007&numAta=195&sessaoAta=O",8,31,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/09/2007&numAta=196&sessaoAta=O",9,3,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=04/09/2007&numAta=198&sessaoAta=O",9,4,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=05/09/2007&numAta=199&sessaoAta=O",9,5,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=06/09/2007&numAta=200&sessaoAta=O",9,6,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/09/2007&numAta=201&sessaoAta=O",9,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/09/2007&numAta=203&sessaoAta=O",9,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=12/09/2007&numAta=205&sessaoAta=O",9,12,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/09/2007&numAta=206&sessaoAta=O",9,13,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/09/2007&numAta=209&sessaoAta=O",9,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/09/2007&numAta=210&sessaoAta=O",9,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/09/2007&numAta=211&sessaoAta=O",9,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/09/2007&numAta=212&sessaoAta=O",9,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/09/2007&numAta=215&sessaoAta=O",9,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=21/09/2007&numAta=216&sessaoAta=O",9,21,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=24/09/2007&numAta=217&sessaoAta=O",9,24,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=25/09/2007&numAta=218&sessaoAta=O",9,25,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/09/2007&numAta=219&sessaoAta=O",9,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/09/2007&numAta=221&sessaoAta=O",9,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=28/09/2007&numAta=222&sessaoAta=O",9,28,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=01/10/2007&numAta=223&sessaoAta=O",10,1,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=02/10/2007&numAta=224&sessaoAta=O",10,2,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/10/2007&numAta=225&sessaoAta=O",10,3,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=04/10/2007&numAta=227&sessaoAta=O",10,4,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=05/10/2007&numAta=228&sessaoAta=O",10,5,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=08/10/2007&numAta=229&sessaoAta=O",10,8,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/10/2007&numAta=230&sessaoAta=O",10,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/10/2007&numAta=231&sessaoAta=O",10,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/10/2007&numAta=232&sessaoAta=O",10,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=15/10/2007&numAta=233&sessaoAta=O",10,15,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=16/10/2007&numAta=234&sessaoAta=O",10,16,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/10/2007&numAta=235&sessaoAta=O",10,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/10/2007&numAta=236&sessaoAta=O",10,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/10/2007&numAta=238&sessaoAta=O",10,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=22/10/2007&numAta=240&sessaoAta=O",10,22,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/10/2007&numAta=241&sessaoAta=O",10,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=24/10/2007&numAta=242&sessaoAta=O",10,24,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=25/10/2007&numAta=243&sessaoAta=O",10,25,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/10/2007&numAta=245&sessaoAta=O",10,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=29/10/2007&numAta=246&sessaoAta=O",10,29,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=30/10/2007&numAta=248&sessaoAta=O",10,30,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=31/10/2007&numAta=249&sessaoAta=O",10,31,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=05/11/2007&numAta=251&sessaoAta=O",11,5,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=06/11/2007&numAta=252&sessaoAta=O",11,6,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=07/11/2007&numAta=253&sessaoAta=O",11,7,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=08/11/2007&numAta=254&sessaoAta=O",11,8,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/11/2007&numAta=255&sessaoAta=O",11,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=12/11/2007&numAta=256&sessaoAta=O",11,12,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/11/2007&numAta=257&sessaoAta=O",11,13,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/11/2007&numAta=259&sessaoAta=O",11,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/11/2007&numAta=260&sessaoAta=O",11,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/11/2007&numAta=261&sessaoAta=O",11,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=21/11/2007&numAta=262&sessaoAta=O",11,21,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=22/11/2007&numAta=264&sessaoAta=O",11,22,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/11/2007&numAta=266&sessaoAta=O",11,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/11/2007&numAta=267&sessaoAta=O",11,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/11/2007&numAta=268&sessaoAta=O",11,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=28/11/2007&numAta=270&sessaoAta=O",11,28,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=29/11/2007&numAta=271&sessaoAta=O",11,29,2007
